date,GDP Growth,Annual Change, 
1961-12-31,4.9784,0
1962-12-31,5.212,0.23
1963-12-31,4.3516,-0.86
1964-12-31,6.9567,2.61
1965-12-31,3.5607,-3.4
1966-12-31,3.1559,-0.4
1967-12-31,3.8681,0.71
1968-12-31,4.1941,0.33
1969-12-31,6.6298,2.44
1970-12-31,5.5918,-1.04
1971-12-31,3.9858,-1.61
1972-12-31,5.2956,1.31
1973-12-31,6.3817,1.09
1974-12-31,4.5653,-1.82
1975-12-31,-1.9659,-6.53
1976-12-31,5.6527,7.62
1977-12-31,0.6262,-5.03
1978-12-31,2.8419,2.22
1979-12-31,2.3411,-0.5
1980-12-31,4.4441,2.1
1981-12-31,-0.2793,-4.72
1982-12-31,0.595,0.87
1983-12-31,0.3118,-0.28
1984-12-31,2.4664,2.15
1985-12-31,1.6518,-0.81
1986-12-31,1.8228,0.17
1987-12-31,2.3067,0.48
1988-12-31,4.7232,2.42
1989-12-31,3.4692,-1.25
1990-12-31,3.1374,-0.33
1991-12-31,1.8331,-1.3
1992-12-31,1.5307,-0.3
1993-12-31,-0.9619,-2.49
1994-12-31,3.227,4.19
1995-12-31,2.3848,-0.84
1996-12-31,1.5934,-0.79
1997-12-31,3.7104,2.12
1998-12-31,1.9753,-1.74
1999-12-31,3.5633,1.59
2000-12-31,3.6336,0.07
2001-12-31,0.8116,-2.82
2002-12-31,1.7805,0.97
2003-12-31,0.7744,-1.01
2004-12-31,3.6349,2.86
2005-12-31,2.0943,-1.54
2006-12-31,2.5061,0.41
2007-12-31,3.449,0.94
2008-12-31,0.7832,-2.67
2009-12-31,-2.2532,-3.04
2010-12-31,2.7442,5
2011-12-31,1.7983,-0.95
2012-12-31,0.2348,-1.56
2013-12-31,0.2007,-0.03
2014-12-31,1.2547,1.05
2015-12-31,1.7396,0.48
2016-12-31,1.4526,-0.29
2017-12-31,1.7344,0.28
2018-12-31,1.4378,-0.3
