date,GDP Growth,Annual Change, 
1971-12-31,3.4699,3
1972-12-31,6.4898,3.02
1973-12-31,4.7214,-1.77
1974-12-31,4.2602,-0.46
1975-12-31,5.6566,1.4
1976-12-31,1.3948,-4.26
1977-12-31,8.2113,6.82
1978-12-31,7.1867,-1.02
1979-12-31,3.073,-4.11
1980-12-31,3.0793,0.01
1981-12-31,3.3252,0.25
1982-12-31,2.2835,-1.04
1983-12-31,-0.2443,-2.53
1984-12-31,4.3544,4.6
1985-12-31,3.0856,-1.27
1986-12-31,-0.4283,-3.51
1987-12-31,4.6631,5.09
1988-12-31,5.2174,0.55
1989-12-31,5.8139,0.6
1990-12-31,8.4665,2.65
1991-12-31,1.9296,-6.54
1992-12-31,3.3433,1.41
1993-12-31,2.6926,-0.65
1994-12-31,5.7558,3.06
1995-12-31,9.6344,3.88
1996-12-31,7.6917,-1.94
1997-12-31,10.8979,3.21
1998-12-31,8.6691,-2.23
1999-12-31,10.5244,1.86
2000-12-31,9.4562,-1.07
2001-12-31,5.3191,-4.14
2002-12-31,5.928,0.61
2003-12-31,2.9545,-2.97
2004-12-31,6.5708,3.62
2005-12-31,5.668,-0.9
2006-12-31,5.0445,-0.62
2007-12-31,5.3091,0.26
2008-12-31,-4.4054,-9.71
2009-12-31,-5.0222,-0.62
2010-12-31,1.922,6.94
2011-12-31,3.721,1.8
2012-12-31,0.1826,-3.54
2013-12-31,1.3369,1.15
2014-12-31,8.8005,7.46
2015-12-31,25.1173,16.32
2016-12-31,4.9876,-20.13
2017-12-31,7.2218,2.23
2018-12-31,6.6536,-0.57
